Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Barkun Y., Rollnik-Sadowska E., Glińska E.","57217629798;57204507743;37039251500;","The concept of ‘talent’ in the labor management perspective - the bibliometric analysis of literature",2020,"International Journal of Industrial Engineering and Management","11","2",,"104","116",,3,"10.24867/IJIEM-2020-2-257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087439367&doi=10.24867%2fIJIEM-2020-2-257&partnerID=40&md5=64c9eb71b87088375405c6658ce3a104","Bialystok University of Technology, Faculty of Engineering Management, Bialystok, Poland","Barkun, Y., Bialystok University of Technology, Faculty of Engineering Management, Bialystok, Poland; Rollnik-Sadowska, E., Bialystok University of Technology, Faculty of Engineering Management, Bialystok, Poland; Glińska, E., Bialystok University of Technology, Faculty of Engineering Management, Bialystok, Poland","The article aims to identify areas of the scientific research within which the subject matter of ""talent"" in the labour management perspective is addressed. The research prepositions are based on the bibliometric data analysis characterizing scientific publications indexed by the Scopus and Web of Science databases. To achieve the aim, VOSviewer software was implemented, what facilitated identification of the keywords, visualized correspondence between them. The results of the study illustrate the following key research trends: the analysis of demand for talents from the business and regional perspectives. © University of Novi Sad.","Bibliometrics; Human resource management; Labour market; Talent management",,Article,"Final","",Scopus,2-s2.0-85087439367
"Grijalva D.F., Ponsetto M.L., Pontón Y.","57189803227;57211439921;57206727256;","Does an oil boom promote firms’ R&D expenditure? Evidence from Ecuador",2020,"Management Research","18","2",,"171","199",,,"10.1108/MRJIAM-11-2018-0889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073992892&doi=10.1108%2fMRJIAM-11-2018-0889&partnerID=40&md5=4423929c71d07df42de78f75394d6687","Universidad San Francisco de Quito, Quito, Ecuador","Grijalva, D.F., Universidad San Francisco de Quito, Quito, Ecuador; Ponsetto, M.L., Universidad San Francisco de Quito, Quito, Ecuador; Pontón, Y., Universidad San Francisco de Quito, Quito, Ecuador","Purpose: The purpose of this paper is to examine how the expansionary phase of a business cycle driven by an exogenous commodity price shock (oil) affects R&D expenditures among Ecuadorian firms. Design/methodology/approach: Using two rounds of the Ecuadorian National Science, Technology and Innovation Activities Survey (ACTI 2012 and 2015) and a data set on gross value added (GVA) by industry, we run a sample correction model applied to a panel data of 1,023 firms from 2009 to 2014. Findings: In deciding whether to invest in R&D, the higher an industry’s GVA, the lower the predicted probability that firms in that industry would invest. Additionally, R&D investments are not procyclical, and there is marginal evidence that they might actually be countercyclical. These findings are consistent with Schumpeter (1939) and Ouyang (2011) and are likely due to an increased opportunity cost of R&D investment during the oil boom. Originality/value: In this study, we examine a boom period and not a full business cycle. This boom is driven by an exogenous shock, deviating from much of the current literature, which focuses on endogenously driven business cycles. This paper examines how the oil shock impacted a variety of industries, and not just attractive ones. Additionally, this paper adds to the limited literature around R&D and business cycles in Latin America. © 2019, Emerald Publishing Limited.","Business cycle; Countercyclical; Ecuador; Innovation; Oil price; R&D expenditure",,Article,"Final","",Scopus,2-s2.0-85073992892
"Hensen A.H.R., Dong J.Q.","57224842081;57059656500;","Hierarchical business value of information technology: Toward a digital innovation value chain",2020,"Information and Management","57","4","103209","","",,15,"10.1016/j.im.2019.103209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073823939&doi=10.1016%2fj.im.2019.103209&partnerID=40&md5=4a7607db332cc384a0a63c30cb4bb113","Coöperatie Menzis U.A., Wageningen, 6709 DZ, Netherlands; Faculty of Economics and Business, University of Groningen, Groningen, 9747 AE, Netherlands","Hensen, A.H.R., Coöperatie Menzis U.A., Wageningen, 6709 DZ, Netherlands; Dong, J.Q., Faculty of Economics and Business, University of Groningen, Groningen, 9747 AE, Netherlands","Information technology (IT) increasingly changes the ways through which firms develop and commercialize innovation. Prior studies have mainly focused on the direct effect of IT use on innovation performance, while little is known about how IT use for different purposes in the innovation processes leads to innovation performance at the organizational level. Drawing on the routine-based absorptive capacity (AC) framework, we conceptualize IT use for knowledge search and relational search as IT-enabled internal and external AC routines and unveil the hierarchical benefits resulting from IT use for innovation. We propose a model in which firms need to purposefully use IT to search for knowledge in the new product development process or search for relationships in the collaborative innovation process, leading to first-order benefits (i.e., internal innovation benefits and open innovation benefits) and, in turn, second-order benefits (i.e., innovation performance). By using a unique data set from 1028 German firms between 2003 and 2007, we find that IT use for knowledge search enhances internal innovation benefits, whereas IT use for relational search increases open innovation benefits. More importantly, internal and open innovation benefits mediate the relationships between IT use for knowledge and relational search and various innovation performance measures. Taken together, our findings shed light on a deeper understanding of the digital innovation value chain. © 2019 Elsevier B.V.","Digital innovation; Hierarchical business value; Information technology use; Knowledge search; Relational search","Information science; Information systems; Business value; Digital innovations; Information technology use; Knowledge search; Relational search; Product development",Article,"Final","",Scopus,2-s2.0-85073823939
"Wengel Y.","57003473100;","LEGO® Serious Play® in multi-method tourism research",2020,"International Journal of Contemporary Hospitality Management","32","4",,"1605","1623",,3,"10.1108/IJCHM-04-2019-0358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079009528&doi=10.1108%2fIJCHM-04-2019-0358&partnerID=40&md5=557fd2b3bfdab39b332f280de24a98ef","Hainan University, Arizona State University International Tourism College (HAITC), Hainan University, Haikou, China","Wengel, Y., Hainan University, Arizona State University International Tourism College (HAITC), Hainan University, Haikou, China","Purpose: In the past decade, scholars across social sciences shifted their attention towards creative and dynamic research methods. Despite the growing popularity of LEGO® Serious Play® method across social sciences, few studies applied the method in tourism and hospitality research. This method represents a powerful tool which uses a toy to solve problems, explore ideas and achieve objectives in business, research and community work. This paper aims to provide insights into qualitative multi-method approach incorporating LEGO® Serious Play® to gain a deeper understanding of hosts-guest experiences in volunteer tourism exchange programme. Design/methodology/approach: The empirical material mentioned in the paper is based on an interpretive study investigating hosts-guest experiences on organic farms. The study used a multi-method approach, and the data were collected through unstructured interviews, observation, reflexive notes and LEGO® Serious Play® workshops with 32 participants in total. Findings: The paper highlights the benefits and limitations of the qualitative multi-method study, specifically focusing on LEGO® Serious Play® as a novel approach for tourism and hospitality research. Originality/value: This study contributes to making the current body of knowledge on qualitative multi-method methodologies and creative visual methodologies in the field of tourism and hospitality. As such, the paper provides an overview of the LEGO® Serious Play® method. Specifically, this exploratory paper brings attention to how and to what end existing LEGO® Serious Play® has been modified and adopted in this multi-method study. Furthermore, the paper highlights the future use to benefit the tourism and hospitality academics and industry professionals. © 2020, Emerald Publishing Limited.","Co-creation; Constructionism; Host-guest experiences; LEGO® Serious Play®; Multi-method; WWOOF",,Article,"Final","",Scopus,2-s2.0-85079009528
"Handriana T., Yulianti P., Kurniawati M.","24832940700;57210320181;57210315804;","Exploration of pilgrimage tourism in Indonesia",2020,"Journal of Islamic Marketing","11","3",,"783","795",,7,"10.1108/JIMA-10-2018-0188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070338235&doi=10.1108%2fJIMA-10-2018-0188&partnerID=40&md5=7d1e6227d7871b612476010e4d9bf53d","Department of Management, Faculty of Economics and Business, Airlangga University, Surabaya, Indonesia","Handriana, T., Department of Management, Faculty of Economics and Business, Airlangga University, Surabaya, Indonesia; Yulianti, P., Department of Management, Faculty of Economics and Business, Airlangga University, Surabaya, Indonesia; Kurniawati, M., Department of Management, Faculty of Economics and Business, Airlangga University, Surabaya, Indonesia","Purpose: This study aims to extract information and analyze the antecedents of Muslims following pilgrimage tours. Data from the Central Bureau of Statistics Indonesia shows that 87.18 per cent of the total population of Indonesia are Muslims. In addition to running the ruling of Islam and the pillars of Faith, Muslims also maintain the religious tourism. The form of religious tourism which is widely followed by the Muslims of Indonesia is to follow a pilgrimage to the tomb of the wali (Guardian), both wali limo and wali songo. Design/methodology/approach: This study used a qualitative approach. Data collection was done using in-depth interviews of Muslims in Indonesia who had already attended pilgrimages to wali limo and/or wali songo. Findings: The tourists are satisfied and have an intention to revisit the destination, and the interest of the community to follow religious tours is very large, as well as the opportunities to do business in this sector are still wide open. Various motives and benefits of following religious tours, as well as suggestions for improvements for religious tourism destination managers, as well as advice for the government were uncovered. Thus, the results of this study are expected to provide a theoretical contribution related to marketing management in religious tourism and a practical contribution for the managers of religious tourism. Research limitations/implications: Further research can be done with a quantitative approach, as well as comparative studies between pilgrimages in Indonesia (developing countries) and pilgrimages in other developing countries or in developed countries can also be conducted. Practical implications: For marketing practitioners, the results of this study can be used as a consideration to continue to improve services in the field of religious tourism in the country, given the potential for development is very large. Social implications: There is a contribution from this study to the development of marketing science, particularly related to marketing management on religious tourism services. Originality/value: This study offers new insight regarding factors influencing Muslims pilgrimage tourism in Indonesia. © 2019, Emerald Publishing Limited.","In-depth interview; Intention to revisit; Pilgrimage; Religious tourism; Satisfaction; Wali limo; Wali songo",,Article,"Final","",Scopus,2-s2.0-85070338235
"Kimuli S.N.L., Orobia L., Sabi H.M., Tsuma C.K.","57209245211;50162332900;56378299400;52763803400;","Sustainability intention: mediator of sustainability behavioral control and sustainable entrepreneurship",2020,"World Journal of Entrepreneurship, Management and Sustainable Development","16","2",,"81","95",,10,"10.1108/WJEMSD-12-2019-0096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083042797&doi=10.1108%2fWJEMSD-12-2019-0096&partnerID=40&md5=5d2575e6f6c9157f3499927631f00008","Department of Entrepreneurship, Makerere University Business School, Kampala, Uganda; Makerere University Business School, Kampala, Uganda; Information Communication Technology University, Yaounde, Cameroon; Information Communication Technology, San francisco, CA, United States","Kimuli, S.N.L., Department of Entrepreneurship, Makerere University Business School, Kampala, Uganda; Orobia, L., Makerere University Business School, Kampala, Uganda; Sabi, H.M., Information Communication Technology University, Yaounde, Cameroon; Tsuma, C.K., Information Communication Technology, San francisco, CA, United States","Purpose: The purpose of this paper is to report results of a study carried out to establish the mediation effect of sustainability intention in the relationship between sustainability behavioral control and sustainable entrepreneurship. Design/methodology/approach: This study is cross sectional and correlational. Data were collected through a questionnaire survey of 384 small businesses. Data were analyzed through correlation coefficients and linear regression using Statistical Package for Social Sciences and the Medgraph program. Findings: The results suggest that sustainability intention partially mediates the relationship between sustainability behavioral control and sustainable entrepreneurship. Results further indicate that sustainability behavioral control and sustainability intention are significant predictors of sustainable entrepreneurship. Originality/value: This study provides an initial empirical evidence on the mediation effect of sustainability intention in the relationship between sustainability behavioral control and sustainable entrepreneurship. To the researcher's knowledge, no study had been conducted on such an interesting topic using evidence from a developing country such as Uganda. © 2020, Emerald Publishing Limited.","Sustainability behavioral control; Sustainability intention; Sustainable entrepreneurship; Uganda",,Article,"Final","",Scopus,2-s2.0-85083042797
"Medeiros M.M., Hoppen N., Maçada A.C.G.","57215937959;6505910848;6504546367;","Data science for business: benefits, challenges and opportunities",2020,"Bottom Line","33","2",,"149","163",,16,"10.1108/BL-12-2019-0132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082424665&doi=10.1108%2fBL-12-2019-0132&partnerID=40&md5=fa5ecfc2341d22d19e68d507d443a43f","School of Administration, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; School of Management and Business, Universidade do Vale do Rio dos Sinos, São Leopoldo, Brazil","Medeiros, M.M., School of Administration, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil; Hoppen, N., School of Management and Business, Universidade do Vale do Rio dos Sinos, São Leopoldo, Brazil; Maçada, A.C.G., School of Administration, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil","Purpose: This paper aims to identify the benefits of data science (DS) for organizations, highlighting the challenges and opportunities related to developing this capability. Design/methodology/approach: Initially, a literature review was performed. Later, empirical data were collected through a structured electronic interview answered by 211 informants, who are most experienced managers of medium and large organizations from different economic sectors, and data were submitted to content analysis. Findings: The most frequently observed benefits are as follows: support for data analysis and insight generation with agility; creation of a data-driven culture; improvement of data quality; facilitating the understanding of the business environment, opportunity sensing; and organizational performance management. The most observed challenges are as follows: data-driven culture; DS training; allocation of investments in analytical technologies; and data governance and strategy. Research limitations/implications: In addition, to mapping the state of the art on the subject, it contributes to the expansion of scientific knowledge through the identification and disclosure of 11 benefit indicators and 16 challenge indicators associated with analytical capabilities. Practical implications: To transform data into information and add value to the business, organizations need to make efforts to enable executive mindset change, the formulation of strategies and governance mechanisms gave the renewal of workforce competencies and the allocation of investments in information technology. Originality/value: A vast body of empirical evidence is gathered that consolidates different views on the benefits and challenges associated with DS for business. © 2020, Emerald Publishing Limited.","Analytical capabilities; Big data analytics; Business intelligence and analytics; Competitive advantage; Data science; Dynamic capabilities",,Article,"Final","",Scopus,2-s2.0-85082424665
"Knowles S.","36550486200;","How To Be Insightful: Unlocking the Superpower that drives Innovation",2020,"How To Be Insightful: Unlocking the Superpower that drives Innovation",,,,"1","225",,,"10.4324/9780429291807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107164294&doi=10.4324%2f9780429291807&partnerID=40&md5=b8e5b40dba0df314c1a46d117c5e21e6",,"Knowles, S.","How do we advance? As individuals, families, and businesses? As societies, nations, and a species? In a world where it's said there is nothing new under the sun, we humans are remarkably resourceful at creating new things. The key to innovation is understanding, but not just by using facts, data, and casual observations. Progress demands the profound and useful understanding of a person or a thing, a situation or an issue. And profound and useful understanding that truly effects change is that most elusive of phenomena: insight. How To Be Insightful provides a novel and deeply practical framework that anyone can use to generate more powerful and impactful insights from the increasing volumes of data we all face every day, whatever we do. The framework - the STEP Prism of Insight - has been developed through decades of both practice and training, and the book includes many exercises designed to help strengthen and develop readers' insight muscles. The book explains the history, psychology, and neuroscience of insight and includes snapshots of insight from international experts in many different fields - psychology and neuroscience, music and acting, forensic science and market research. © 2020 Sam Knowles. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85107164294
"Zhang X., Yue W.T.","57205440640;8925768600;","A 2020 perspective on “Transformative value of the Internet of Things and pricing decisions”",2020,"Electronic Commerce Research and Applications","41",,"100967","","",,4,"10.1016/j.elerap.2020.100967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082777140&doi=10.1016%2fj.elerap.2020.100967&partnerID=40&md5=7a7f30071b247179ff5d8e811beee5c1","School of Economics and Management, Beijing Jiaotong University, Beijing, 100044, China; Department of Information Systems, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong","Zhang, X., School of Economics and Management, Beijing Jiaotong University, Beijing, 100044, China; Yue, W.T., Department of Information Systems, City University of Hong Kong, Tat Chee Avenue, Kowloon, Hong Kong","The Internet of Things (IoT) has become increasingly influential, particularly because of the significant new developments in the technologies of big data, cloud computing, 5G, and artificial intelligence. In this paper, we briefly explain how these new developments in the IoT may create a new electronic commerce landscape and opportunities associated with it; these developments pose interesting questions for future research. © 2020 Elsevier B.V.","Business management; Computational social science (CSS); Data analytics; Internet of Things","5G mobile communication systems; Costs; Data Analytics; Social sciences computing; Business management; Computational social science; Internet of thing (IOT); Pricing decision; Internet of things",Article,"Final","",Scopus,2-s2.0-85082777140
"Craig R., Cox A., Tourish D., Thorpe A.","7402946287;55417078400;6701757320;57217372876;","Using retracted journal articles in psychology to understand research misconduct in the social sciences: What is to be done?",2020,"Research Policy","49","4","103930","","",,12,"10.1016/j.respol.2020.103930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079236811&doi=10.1016%2fj.respol.2020.103930&partnerID=40&md5=24a05d0e4f9b71891ddb044eb714cbbd","Durham University, Durham University Business School, Mill Hill Lane, Durham, DH1 3LB, United Kingdom; University of Portsmouth, Portsmouth Business School, Portland Street, Portsmouth, PO1 3DE, United Kingdom; University of Sussex, Falmer, Brighton, BN1 9RH, United Kingdom; University of Essex, Colchester, CO4 3SQ, United Kingdom","Craig, R., Durham University, Durham University Business School, Mill Hill Lane, Durham, DH1 3LB, United Kingdom; Cox, A., University of Portsmouth, Portsmouth Business School, Portland Street, Portsmouth, PO1 3DE, United Kingdom; Tourish, D., University of Sussex, Falmer, Brighton, BN1 9RH, United Kingdom; Thorpe, A., University of Essex, Colchester, CO4 3SQ, United Kingdom","This paper explores the nature and impact of research misconduct in psychology by analyzing 160 articles that were retracted from prominent scholarly journals between 1998 and 2017. We compare findings with recent studies of retracted papers in economics, and business and management, to profile practices that are likely to be problematic in cognate social science disciplines. In psychology, the principal reason for retraction was data fabrication. Retractions took longer to make, and generally were from higher ranked and more prestigious journals, than in the two cognate disciplines. We recommend that journal editors should be more forthcoming in the reasons they provide for article retractions. We also recommend that the discipline of psychology gives a greater priority to the publication of replication studies; initiates a debate about how to respond to failed replications; adopts a more critical attitude to the importance of attaining statistical significance; discourages p-hacking and Hypothesizing After Results are Known (HARKing); assesses the long-term effects of pre-registering research; and supports stronger procedures to attest to the authenticity of data in research papers. Our contribution locates these issues in the context of a growing crisis of confidence in the value of social science research. We also challenge individual researchers to reassert the primacy of disinterested academic inquiry above pressures that can lead to an erosion of scholarly integrity. © 2020 Elsevier B.V.","Misconduct; Psychology; Replication; Research; Retractions","Behavioral research; Personal computing; Research; Business and management; Misconduct; Psychology; Replication; Retractions; Science disciplines; Social science research; Statistical significance; Economics",Article,"Final","",Scopus,2-s2.0-85079236811
"Mahdikhani M., Yazdani B.","57215875669;51666469300;","Transformational leadership and service quality in e-commerce businesses: The role of trust and team performance",2020,"International Journal of Law and Management","62","1",,"23","46",,9,"10.1108/IJLMA-12-2018-0290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082197058&doi=10.1108%2fIJLMA-12-2018-0290&partnerID=40&md5=73a41859fb107bfd29f79a62a47943e6","Department of Management, Najafabad Branch, Islamic Azad University, Najafabad, Iran","Mahdikhani, M., Department of Management, Najafabad Branch, Islamic Azad University, Najafabad, Iran; Yazdani, B., Department of Management, Najafabad Branch, Islamic Azad University, Najafabad, Iran","Purpose: The purpose of this paper is to examine the transformational leadership and service quality in the businesses active in the field of e-commerce with the mediating role of trust and team performance. Design/methodology/approach: Survey questionnaires were administered on a 384-subject sample of the employees of the teams working in electronic businesses in Iran. The structural equation modeling and partial least square techniques were used to analyze the data. Findings: The results showed that transformational leadership has a positive impact on service quality and improves team performance. The effect of transformational leadership on the interpersonal trust and the trust on the team performance are also positive and significant. In summary, the improved performance also has a positive impact on service quality. Research limitations/implications: The main limitation is the assessment by questionnaire because the questionnaires measure the attitudes of individuals, not the facts as they are, and the attitudes of individuals usually involve personal judgments and prejudices in the research. Also, examining the research model in different cultural domains may provide different results because of being influenced by different cultures. Hence, the authors recommend that the findings should be examined in other communities with different cultures. Originality/value: Evaluating the impact of the transformational leadership on service quality (SERVPERF scale) by a survey of team trust and performance in e-business is an innovation in the influence assessment of these variables. The present research is considered applicable to the management science as new findings in organizational behavior studies and recognition of transformational leaders, as well as the positive impacts of the characteristics of them on individuals and followers. © 2020, Emerald Publishing Limited.","Service quality SERVPERF scale; Team performance; Transformational leadership; Trust",,Article,"Final","",Scopus,2-s2.0-85082197058
"Lutz C.J., Bodendorf F.","57202890245;6603957531;","Analyzing industry stakeholders using open-source competitive intelligence – a case study in the automotive supply industry",2020,"Journal of Enterprise Information Management","33","3",,"579","599",,5,"10.1108/JEIM-08-2019-0234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081581988&doi=10.1108%2fJEIM-08-2019-0234&partnerID=40&md5=38ad6904f5986b173b56b6c1f9ad37c2","Department of Information Systems, FAU, Nürnberg, Germany","Lutz, C.J., Department of Information Systems, FAU, Nürnberg, Germany; Bodendorf, F., Department of Information Systems, FAU, Nürnberg, Germany","Purpose: Continually evolving market structures characterized by high competition and simultaneous coopetition raise the need for the awareness of strategic actions of industry stakeholders and therefore the field of competitive intelligence (CI). Hence, this paper aims to provide a case-based method to enrich and automate the entire CI cycle using open-source data to analyze the industry environment. Design/methodology/approach: The research method is based on design science research and accompanied by a three-year continuous in-depth case study in the automotive supply industry using unstructured, qualitative data to examine the activities of 25 industry stakeholders. Findings: This paper provides a new holistic method for gaining valuable insights for decision-makers presented through a multiple-layer perspective of the industry development including structural transformation and strategic alignments in functional and cross-sectional areas of the stakeholders. Research limitations/implications: The development of a holistic approach using open-source data combines the knowledge-based view and industry economics and allows easy transferability to any other industry. Practical implications: The proposed method shows an increase in knowledge for managers to support daily work as well as strategic decision-making. Furthermore, it is proven that even unexperienced CI analysts are empowered to deliver high-quality results. Originality/value: The paper contributes to the literature and practice of CI by using an approach, which uses unstructured, qualitative data to enrich the entire CI cycle in a business-to-business environment. The case description confirms performance and time improvements of the method and shows the potential of the created insights. © 2019, Emerald Publishing Limited.","Competitive intelligence; Process automation; Strategic analysis",,Article,"Final","",Scopus,2-s2.0-85081581988
"Pan C.-L., Lin Z., Yu L., Chen X., Chen W.","57216760922;57216759593;57216768418;57218657849;57218658930;","A scientometric analysis: Finance and investors under the context of internet development",2020,"Proceedings - 2020 International Conference on E-Commerce and Internet Technology, ECIT 2020",,,"9134296","261","264",,,"10.1109/ECIT50008.2020.00067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089951371&doi=10.1109%2fECIT50008.2020.00067&partnerID=40&md5=eb13fa9bdf73ed6608704c6001f7923b","Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China","Pan, C.-L., Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China; Lin, Z., Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China; Yu, L., Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China; Chen, X., Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China; Chen, W., Nanfang College of Sun Yat-sen University, School of Accounting, Guangzhou, Guangdong, China","Providing services via Internet technology is increasingly popular, and the financial sector is no exception. As a part of the modern service industry, finance has developed rapidly in the Internet world, provoking researchers to study the effects of finance and investor on various dimensions of the societal life. Although many studies have analyzed the impact of the Internet on finance, few of them have mentioned the investors, such as their attention, sentiment and attitudes. Based on the 481 articles retrieved by Web of Science, this paper makes a systematic review, which can provide a direction for future research and make up the research gap. Research papers published between 1989 and 2020 were selected and grouped according to publication year, institutions and publication sources. The results showed that in recent years, the publishing industry in various countries developed rapidly, and the research fields involved finance, management, economics, organizational law, business, and other disciplines. Also, U.S. and Chinese institutions excel at hosting such interdisciplinary work. In addition, different types of keywords present significant interactions in the visualization: (a) internet-based research, (b) financial markets and investors, (c) social media and big data, (d) internet of things and block chain, and (e) trust. © 2020 IEEE.","Bibliographic coupling; Finance; Internet; Investor","Data visualization; Electronic commerce; Publishing; Service industry; Interdisciplinary work; Internet development; Internet technology; Internet-based research; Modern service industries; Publishing industry; Scientometric analysis; Systematic Review; Investments",Conference Paper,"Final","",Scopus,2-s2.0-85089951371
"Behl A., Chavan M., Dutta P., Sheorey P.A.","56554009500;30367443200;16244453500;56464928900;","Benchmarking publication metrics for Indian business researchers: Exploring the role of collaboration",2020,"Benchmarking","27","2",,"571","591",,7,"10.1108/BIJ-04-2019-0184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074432811&doi=10.1108%2fBIJ-04-2019-0184&partnerID=40&md5=3cabfdf7bb22b98c19767225a3d66baf","Shailesh J. Mehta School of Management, Indian Institute of TechnologyMumbai, India; Faculty of Business and Economics, Macquarie University, Sydney, Australia; Symbiosis International University, Symbiosis Centre for Management and Human Resource Development, Pune, India","Behl, A., Shailesh J. Mehta School of Management, Indian Institute of TechnologyMumbai, India; Chavan, M., Faculty of Business and Economics, Macquarie University, Sydney, Australia; Dutta, P., Shailesh J. Mehta School of Management, Indian Institute of TechnologyMumbai, India; Sheorey, P.A., Symbiosis International University, Symbiosis Centre for Management and Human Resource Development, Pune, India","Purpose: There is no particularly efficient way to measure research output, but effectual assessment of research output is necessary to motivate and encourage researchers to enhance their research performance and disseminate knowledge. The purpose of this paper is to highlight the exacerbating pressure on Indian academics to deliver incessantly in terms of research output and identify an agreeable way to increase research output. The metric explores trends in management publications by Indian academics and presents an overview of collaborative practices by Indian management researchers that could shine a light on the trends of collaborative publishing future. Design/methodology/approach: The study focuses on publications in the area of Business and Management. Scopus was used with advanced filters to draw relevant research papers. Data were then sorted and filtered on the basis of quality determined through Australian Business Deans Council rankings and diverse bibliometric information to understand the pattern of research output of Indian academics. Findings: The research found that the rate of collaboration with researchers from the home country is low for top rated publications. Majority of publications were listed in Scopus indexed journals, whereas a handful featured in A and A* journals. A and A* journals were predominantly co-authored with academics from universities outside the country. Tradeoff was achieved by majority of authors by getting published in B, followed by C category journals to achieve research outputs. Research limitations/implications: The study is limited to publications in the area of Business and Management and may be extended to other disciplines such as economics, engineering, law, medical sciences, etc., to understand publishing trends at universities in the country. The study can also be conducted in understanding a similar dilemma with academics at other countries that are evolving in research culture. Practical implications: The study would help management researchers to dig deep into the root cause and understand why and how collaborations within and outside the country impact the quality of publications. The results would further encourage ranking agencies to award suitable grades to colleges that promote collaboration within the country as well as international collaboration. The study also conducts a benchmarking exercise of the institutions in the country that would be useful for researchers, journals and colleges. Originality/value: While earlier studies have highlighted the importance of foreign collaborations in academic publishing, there are a handful of studies that have focused on the role of collaboration within the home country. The practice of Indian authors collaborating with Indian counterparts at other universities would help understand the expertise of researchers at different universities and encourage the collaboration process and quality of publications in the country. © 2019, Emerald Publishing Limited.","Benchmarking; Management education",,Review,"Final","",Scopus,2-s2.0-85074432811
"Lusoli A.","57193278746;","Teaching business as business: The role of the case method in the constitution of management as a science-based profession",2020,"Journal of Management History","26","2",,"277","290",,2,"10.1108/JMH-06-2019-0042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078220104&doi=10.1108%2fJMH-06-2019-0042&partnerID=40&md5=8ae7a141c00ccea576db73e9e5e23b15","School of Communication, Simon Fraser University, Vancouver, Canada","Lusoli, A., School of Communication, Simon Fraser University, Vancouver, Canada","Purpose: This paper aims to explore the early days of business education with the aim of understanding how the Harvard Business School (HBS) contributed to the constitution of “management” as a science-based profession. The research focuses on HBS signature pedagogy, the case method and its role in the institutionalization of managerial knowledge. Design/methodology/approach: The research is based on a qualitative content analysis of HBS Annals published between 1908 and 1930. Through a manual coding of the Annals, the paper traces the diffusion of the case method in the curriculum and connects it with the institutional transformations that took place between 1908 and 1930. Findings: The data show how HBS curriculum transitioned from lectures to case teaching in the aftermath of First World War. This pedagogy allowed HBS to demonstrate the possibility of systematically investigate management problems and to deliver business education at scale. The discussion argues that the case method, acting as a boundary object between business praxis and management theories, constituted management as a science-based profession. Originality/value: Recent debates have emerged about case method’s ability to critically question socio-economic structures within which business is conducted. This paper contributes to the debate arguing that the historical and institutional factors leading to the affirmation of this pedagogical approach had a substantive role in the type of knowledge produced through its application. The findings challenge the idea that the affirmation of the case method is attributable to its epistemological primacy in investigating business problems. © 2019, Emerald Publishing Limited.","Boundary object; Case method; Harvard Business School; Ontological model",,Article,"Final","",Scopus,2-s2.0-85078220104
